index,#file_source,#file_extract,onset,offset,speaker,language,#phone,prev_phone,next_phone,context,dataset
TU35,participant2_tur3.wav,TU35.wav,7.59492,7.93,TU-participant2,TU,u,ʃ,t,ʃ_t,WorldVowels
TU134,participant3_tur6.wav,TU134.wav,3.104,3.38,TU-participant3,TU,u,f,z,f_z,WorldVowels
TU44,participant2_tur2.wav,TU44.wav,7.9,8.22,TU-participant2,TU,i,f,z,f_z,WorldVowels
TU76,participant4_tur3.wav,TU76.wav,2.76,3.14,TU-participant4,TU,i,f,z,f_z,WorldVowels
TU188,participant3_tur5.wav,TU188.wav,18.0,18.29,TU-participant3,TU,ɯ,p,t,p_t,WorldVowels
TU181,participant3_tur5.wav,TU181.wav,7.63,8.0,TU-participant3,TU,y,t,s,t_s,WorldVowels
TU177,participant3_tur5.wav,TU177.wav,2.27,2.55,TU-participant3,TU,i,f,z,f_z,WorldVowels
TU4,participant2_tur4.wav,TU4.wav,7.98,8.32,TU-participant2,TU,y,f,z,f_z,WorldVowels
TU149,participant3_tur2.wav,TU149.wav,12.15,12.49,TU-participant3,TU,œ,t,s,t_s,WorldVowels
TU207,participant1_tur6.wav,TU207.wav,21.85,22.41,TU-participant1,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU2,participant2_tur4.wav,TU2.wav,4.42,4.81,TU-participant2,TU,i,t,s,t_s,WorldVowels
TU71,participant4_tur6.wav,TU71.wav,11.13,11.52,TU-participant4,TU,œ,p,t,p_t,WorldVowels
TU263,participant1_tur5.wav,TU263.wav,25.98022,26.48,TU-participant1,TU,ɯ,t,s,t_s,WorldVowels
TU77,participant4_tur3.wav,TU77.wav,4.89,5.21,TU-participant4,TU,i,t,s,t_s,WorldVowels
TU147,participant3_tur2.wav,TU147.wav,9.25693,9.62,TU-participant3,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU242,participant1_tur1.wav,TU242.wav,31.14,31.61,TU-participant1,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU79,participant4_tur3.wav,TU79.wav,9.0,9.39,TU-participant4,TU,y,f,z,f_z,WorldVowels
TU74,participant4_tur6.wav,TU74.wav,17.47,17.81,TU-participant4,TU,œ,t,s,t_s,WorldVowels
