filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,hubt0_distance_tgt,hubt0_distance_oth,hubt1_distance_tgt,hubt1_distance_oth,hubt2_distance_tgt,hubt2_distance_oth,hubt3_distance_tgt,hubt3_distance_oth,hubt4_distance_tgt,hubt4_distance_oth,hubt5_distance_tgt,hubt5_distance_oth,hubt6_distance_tgt,hubt6_distance_oth,hubt7_distance_tgt,hubt7_distance_oth,hubt8_distance_tgt,hubt8_distance_oth,hubt9_distance_tgt,hubt9_distance_oth,hubt10_distance_tgt,hubt10_distance_oth,hubt11_distance_tgt,hubt11_distance_oth,hubt12_distance_tgt,hubt12_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.4882084727287292,0.488167256116867,0.4779482781887054,0.4732843339443207,0.4764069616794586,0.4856148958206177,0.4697950780391693,0.4821202158927917,0.4894546568393707,0.4888851642608642,0.4845515787601471,0.4801535010337829,0.4806698262691498,0.4748852849006653,0.4709324538707733,0.4598462581634521,0.4602726101875305,0.4699261784553528,0.4588459730148315,0.4705201089382171,0.4630358219146728,0.4911878108978271,0.4384509027004242,0.4649114310741424,0.4384509027004242,0.46491143107414246
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.3920299708843231,0.6821441054344177,0.3908810019493103,0.6636469960212708,0.3939214646816253,0.6759968996047974,0.3759868741035461,0.6368635296821594,0.4025495052337646,0.6690763831138611,0.3872528672218323,0.6538454294204712,0.3582101464271545,0.6490710973739624,0.3528344929218292,0.6284350156784058,0.3581611514091491,0.6205548644065857,0.3441886603832245,0.643406867980957,0.338198721408844,0.6475114822387695,0.2913802564144134,0.6249895095825195,0.29138025641441345,0.6249895095825195
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.5310232043266296,0.6287431716918945,0.5295006036758423,0.6364732980728149,0.5225450992584229,0.6334822773933411,0.5310727953910828,0.6536515355110168,0.5485440492630005,0.6597539782524109,0.5221067667007446,0.6306787729263306,0.4614273011684418,0.58464515209198,0.4359530508518219,0.568630576133728,0.438028335571289,0.571884036064148,0.4325757920742035,0.5663894414901733,0.4175069630146026,0.551490306854248,0.3741986751556396,0.4550806879997253,0.37419867515563965,0.45508068799972534
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.5328941941261292,0.5915315747261047,0.4998889863491058,0.5512228608131409,0.5071837902069092,0.5574865937232971,0.5137585997581482,0.5696651339530945,0.5334725975990295,0.5701289772987366,0.5166235566139221,0.5911775827407837,0.508508563041687,0.5650047063827515,0.4879423081874847,0.5509909987449646,0.4543734490871429,0.5445111393928528,0.4669784903526306,0.5276108980178833,0.4790845811367035,0.5340863466262817,0.4153400957584381,0.5363256335258484,0.4153400957584381,0.5363256335258484
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.4361932575702667,0.4295267760753631,0.4356998801231384,0.4140745401382446,0.4427475929260254,0.4113710224628448,0.437774509191513,0.3689456582069397,0.4401076734066009,0.3732546865940094,0.4229012131690979,0.358922392129898,0.3838395476341247,0.3436115086078644,0.3684028685092926,0.319274753332138,0.3575719892978668,0.3419055640697479,0.3547867834568023,0.3065064549446106,0.3169311583042145,0.2959640920162201,0.2753714919090271,0.226717934012413,0.2753714919090271,0.22671793401241302
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.4760506153106689,0.6070607900619507,0.4802962243556976,0.6390091180801392,0.5160036683082581,0.6329193115234375,0.502087414264679,0.6138127446174622,0.5239071846008301,0.6248654127120972,0.4755736887454986,0.5886445641517639,0.4482491016387939,0.6116898059844971,0.4169953167438507,0.6110717058181763,0.400478720664978,0.6026155948638916,0.4257210791110992,0.6220142841339111,0.4138368666172027,0.6469104290008545,0.4016710221767425,0.6633842587471008,0.40167102217674255,0.6633842587471008
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.5118414759635925,0.533875048160553,0.4775151014328003,0.4982549846172333,0.4797286987304687,0.4935156404972076,0.4700148701667785,0.4842545688152313,0.4596022069454193,0.4877732694149017,0.4731003046035766,0.4880353510379791,0.4553111493587494,0.4803622364997864,0.4702531993389129,0.4794864058494568,0.4890620708465576,0.4851152598857879,0.5154820084571838,0.5083601474761963,0.5459654331207275,0.5557619333267212,0.4980766177177429,0.4968288540840149,0.4980766177177429,0.4968288540840149
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.6289480328559875,0.6329743266105652,0.5944913029670715,0.628603994846344,0.6246399283409119,0.6664877533912659,0.6067283749580383,0.6807802319526672,0.6518880724906921,0.7042151093482971,0.6532251238822937,0.7050687670707703,0.6427131295204163,0.704519510269165,0.6283612251281738,0.6906747817993164,0.5873128175735474,0.6907442212104797,0.5733503103256226,0.6712703704833984,0.6334959864616394,0.6600379347801208,0.5629324913024902,0.6118645668029785,0.5629324913024902,0.6118645668029785
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.5006681084632874,0.5177749395370483,0.4976116716861725,0.5186088681221008,0.5073999762535095,0.5455002188682556,0.5078001618385315,0.573854386806488,0.5338557362556458,0.538008451461792,0.5731490850448608,0.5329500436782837,0.5482684373855591,0.5314785838127136,0.542157769203186,0.5033555030822754,0.5502982139587402,0.4961916804313659,0.5816209316253662,0.4895703196525574,0.5821551084518433,0.4917729198932647,0.5797866582870483,0.4216352105140686,0.5797866582870483,0.4216352105140686
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.3956086933612823,0.4477229714393616,0.4204664230346679,0.469444066286087,0.4398039877414703,0.5013281106948853,0.4593312442302704,0.5375935435295105,0.4924206435680389,0.57466721534729,0.5133697390556335,0.599724292755127,0.5054987072944641,0.5858767032623291,0.5108020305633545,0.5834977030754089,0.530224621295929,0.5797480940818787,0.505760133266449,0.5534749031066895,0.5013896822929382,0.5608733892440796,0.4746274054050445,0.55686354637146,0.47462740540504456,0.55686354637146
