filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,hubt0_distance_tgt,hubt0_distance_oth,hubt1_distance_tgt,hubt1_distance_oth,hubt2_distance_tgt,hubt2_distance_oth,hubt3_distance_tgt,hubt3_distance_oth,hubt4_distance_tgt,hubt4_distance_oth,hubt5_distance_tgt,hubt5_distance_oth,hubt6_distance_tgt,hubt6_distance_oth,hubt7_distance_tgt,hubt7_distance_oth,hubt8_distance_tgt,hubt8_distance_oth,hubt9_distance_tgt,hubt9_distance_oth,hubt10_distance_tgt,hubt10_distance_oth,hubt11_distance_tgt,hubt11_distance_oth,hubt12_distance_tgt,hubt12_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.4820994436740875,0.4919802546501159,0.4533892869949341,0.4588998258113861,0.4450156390666961,0.4447230994701385,0.4180371165275574,0.4115564525127411,0.4218932092189789,0.4158786237239837,0.4091666042804718,0.4020702838897705,0.3998179733753204,0.3907218873500824,0.4080906808376312,0.3995491862297058,0.4009479582309723,0.4070539772510528,0.3795908391475677,0.3996350765228271,0.4058442711830139,0.432900607585907,0.3420928120613098,0.3485246002674103,0.3420928120613098,0.3485246002674103
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.458892285823822,0.6992730498313904,0.4374504685401916,0.6683276295661926,0.4136966168880462,0.6536186337471008,0.3867488801479339,0.625063419342041,0.3843283355236053,0.6221222877502441,0.3260483145713806,0.5713017582893372,0.2929793000221252,0.5468865633010864,0.2803689539432525,0.546727180480957,0.2727773487567901,0.5351760983467102,0.2541302740573883,0.5023267865180969,0.2706939876079559,0.572326123714447,0.2653432488441467,0.6364228129386902,0.26534324884414673,0.6364228129386902
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.5556538105010986,0.6353543400764465,0.548959493637085,0.6156854629516602,0.5279006958007812,0.5869051814079285,0.4975712299346924,0.5638560652732849,0.4978788793087005,0.5645366907119751,0.4804756641387939,0.5268236398696899,0.4512299001216888,0.4954389035701751,0.4252413213253021,0.4864168167114258,0.4029475152492523,0.4870229363441467,0.366580992937088,0.4831019937992096,0.4167516827583313,0.5378772020339966,0.3726882040500641,0.464836984872818,0.3726882040500641,0.464836984872818
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.5442013740539551,0.5842795968055725,0.5188794732093811,0.5580199956893921,0.5165682435035706,0.5506999492645264,0.4843186438083648,0.533199667930603,0.4757672548294067,0.5328652262687683,0.4540100395679474,0.5104684829711914,0.4210558831691742,0.4974914193153381,0.4068264663219452,0.4802552163600921,0.3863247036933899,0.4694576263427734,0.3751838505268097,0.4293485283851623,0.3958840668201446,0.4399383068084717,0.3276971280574798,0.4160566627979278,0.32769712805747986,0.41605666279792786
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.4565818011760711,0.4359550774097442,0.431388646364212,0.4410440027713775,0.3939013481140136,0.3912277519702911,0.3464682400226593,0.3798012435436249,0.3373102247714996,0.3591968417167663,0.3043994903564453,0.319509357213974,0.3062723577022552,0.2864291965961456,0.2813488841056824,0.2753843963146209,0.2797625660896301,0.2730669975280761,0.2707312405109405,0.2577172219753265,0.2347783595323562,0.2649112641811371,0.2172665148973465,0.2500958442687988,0.2172665148973465,0.25009584426879883
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.5261702537536621,0.6624869704246521,0.4985790848731994,0.6384513974189758,0.4802125990390777,0.6183796525001526,0.4413018524646759,0.5803427696228027,0.4307286143302917,0.5898256301879883,0.3919841051101684,0.5411973595619202,0.375084787607193,0.4952279925346374,0.3786063492298126,0.4870396256446838,0.3803198933601379,0.486285924911499,0.3779696226119995,0.4574398100376129,0.3855451047420501,0.4967922568321228,0.3180368840694427,0.4315232634544372,0.31803688406944275,0.43152326345443726
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.4924575090408325,0.5457252264022827,0.4695617258548736,0.520332932472229,0.4664527475833893,0.5289246439933777,0.4621840119361877,0.532334566116333,0.4613057374954223,0.5238173604011536,0.457058310508728,0.5162165760993958,0.4460526704788208,0.4998532831668854,0.4435529708862304,0.5102579593658447,0.4586430191993713,0.536784291267395,0.479352593421936,0.553210437297821,0.4865923821926117,0.6006662845611572,0.4353035688400268,0.5524564981460571,0.43530356884002686,0.5524564981460571
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.6160677075386047,0.6562882661819458,0.6072582006454468,0.6616817712783813,0.6164636015892029,0.6787542104721069,0.6017339825630188,0.6714994311332703,0.5715818405151367,0.6832797527313232,0.5463131070137024,0.665799617767334,0.5036593675613403,0.6467909216880798,0.5023126006126404,0.6341567039489746,0.5094637274742126,0.6220762729644775,0.5287164449691772,0.6145879626274109,0.5557908415794373,0.6393550634384155,0.4940475523471832,0.6209725737571716,0.4940475523471832,0.6209725737571716
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.5534645318984985,0.5754458904266357,0.522563099861145,0.5592164993286133,0.5213323831558228,0.57096928358078,0.5123823881149292,0.5665180087089539,0.5061310529708862,0.5823253989219666,0.4860940277576446,0.5846642255783081,0.4666686654090881,0.4928023517131805,0.4756224155426025,0.4681905508041382,0.5027818083763123,0.4700758457183838,0.5118625164031982,0.4673048853874206,0.5194461941719055,0.4989217519760132,0.510666012763977,0.4541672170162201,0.510666012763977,0.4541672170162201
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.443456083536148,0.4913617968559265,0.4361021518707275,0.4954037368297577,0.4206215441226959,0.5135007500648499,0.4241071343421936,0.5203267335891724,0.3919735848903656,0.519885241985321,0.3831762969493866,0.5268146395683289,0.3696727752685547,0.5129735469818115,0.3754172027111053,0.5134376287460327,0.4059235155582428,0.5324617624282837,0.3870809376239776,0.5092411637306213,0.4096241295337677,0.5555787086486816,0.37630295753479,0.508017897605896,0.37630295753479004,0.508017897605896
