filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,HuBERT (Transformer)_layer0_distance_tgt,HuBERT (Transformer)_layer0_distance_oth,HuBERT (Transformer)_layer1_distance_tgt,HuBERT (Transformer)_layer1_distance_oth,HuBERT (Transformer)_layer2_distance_tgt,HuBERT (Transformer)_layer2_distance_oth,HuBERT (Transformer)_layer3_distance_tgt,HuBERT (Transformer)_layer3_distance_oth,HuBERT (Transformer)_layer4_distance_tgt,HuBERT (Transformer)_layer4_distance_oth,HuBERT (Transformer)_layer5_distance_tgt,HuBERT (Transformer)_layer5_distance_oth,HuBERT (Transformer)_layer6_distance_tgt,HuBERT (Transformer)_layer6_distance_oth,HuBERT (Transformer)_layer7_distance_tgt,HuBERT (Transformer)_layer7_distance_oth,HuBERT (Transformer)_layer8_distance_tgt,HuBERT (Transformer)_layer8_distance_oth,HuBERT (Transformer)_layer9_distance_tgt,HuBERT (Transformer)_layer9_distance_oth,HuBERT (Transformer)_layer10_distance_tgt,HuBERT (Transformer)_layer10_distance_oth,HuBERT (Transformer)_layer11_distance_tgt,HuBERT (Transformer)_layer11_distance_oth,HuBERT (Logits)_distance_tgt,HuBERT (Logits)_distance_oth,logits_softmax_distance_tgt,logits_softmax_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.4322484135627746,0.4493840634822845,0.3771896362304687,0.4002963304519653,0.3726034164428711,0.3754400312900543,0.3283621668815613,0.3470368087291717,0.3399489820003509,0.3390111029148102,0.3503465354442596,0.3632093369960785,0.3369054496288299,0.3608571887016296,0.3568440675735473,0.3678707182407379,0.3628194332122803,0.348908394575119,0.3040912449359894,0.2675018608570099,0.3247420489788055,0.305186927318573,0.2695010304450989,0.3072116076946258,0.1956070065498352,0.2574259638786316,1.129179835319519,1.6200844049453735
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.3484769165515899,0.4823913276195526,0.3142066299915313,0.4148056209087372,0.2978686690330505,0.4145166575908661,0.2894408702850342,0.4173703193664551,0.2863344848155975,0.405324637889862,0.2858186364173889,0.4264362752437591,0.3074904680252075,0.4441423714160919,0.332449734210968,0.4734892845153808,0.3571053445339203,0.4825515449047088,0.3727954924106598,0.5171829462051392,0.3793690502643585,0.5511380434036255,0.3760389685630798,0.5923250317573547,0.2985103726387024,0.567469596862793,1.9097768068313599,2.5443432331085205
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.4978048503398895,0.502898097038269,0.4798427820205688,0.4695374369621277,0.4584734439849853,0.4663904309272766,0.4054999649524688,0.4319202005863189,0.3687463402748108,0.4007750153541565,0.3715434968471527,0.4055475294589996,0.400668203830719,0.4254623055458069,0.3956759572029114,0.4041334390640259,0.3952109813690185,0.4370005130767822,0.393273264169693,0.3579894006252289,0.4274237155914306,0.3552480936050415,0.412110298871994,0.4229940176010132,0.3285315930843353,0.3756801187992096,2.2269012928009033,2.4116933345794678
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.4235085546970367,0.4530139565467834,0.3907840549945831,0.4103115200996399,0.3884469866752624,0.4432382881641388,0.3966389000415802,0.4418390393257141,0.3821294903755188,0.4370801746845245,0.3909615278244018,0.4643132984638214,0.3880653381347656,0.5160931348800659,0.4129041731357574,0.5437793731689453,0.3966193497180938,0.477628618478775,0.3435280919075012,0.4171995222568512,0.3564894199371338,0.4486361443996429,0.3431416749954223,0.5298604369163513,0.2631860375404358,0.4778993129730224,1.6024245023727417,3.2028462886810303
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.3863851130008697,0.3726523816585541,0.3253052830696106,0.325265109539032,0.3221132457256317,0.3462179601192474,0.2912402153015136,0.3001599311828613,0.285665363073349,0.2979941666126251,0.2883541882038116,0.3030677437782287,0.2871427536010742,0.3107831180095672,0.3178936243057251,0.3441442847251892,0.3262233734130859,0.3672589659690857,0.3086453676223755,0.3145578801631927,0.3453465700149536,0.3416086733341217,0.2635324597358703,0.4280718564987182,0.169877141714096,0.3021628260612488,0.9106035232543945,1.4326826333999634
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.3545781075954437,0.512451708316803,0.3169111013412475,0.4505383968353271,0.2996424734592438,0.448781669139862,0.2796135246753692,0.4378353357315063,0.2595373094081878,0.4274915754795074,0.2537660300731659,0.3911980986595154,0.2615816593170166,0.3825751543045044,0.2480930089950561,0.3734018206596374,0.2036227583885193,0.3096517026424408,0.1652628928422927,0.260580837726593,0.2253739237785339,0.3322902023792267,0.3214085400104522,0.3807336688041687,0.2362050265073776,0.3383657336235046,0.8592389822006226,1.2988781929016113
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.4105486571788788,0.4736902415752411,0.3489986360073089,0.3856546282768249,0.3386080861091614,0.4051333665847778,0.3209216296672821,0.3821188509464264,0.2904983162879944,0.3801952600479126,0.2649547755718231,0.3685998618602752,0.233365386724472,0.3498606979846954,0.2566798627376556,0.3950203955173492,0.2633141577243805,0.4245631396770477,0.3041198253631592,0.5042691230773926,0.3724081814289093,0.5745994448661804,0.3884251415729522,0.6152196526527405,0.2242572903633117,0.3828104436397552,1.1611160039901733,2.4431753158569336
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.4857608079910278,0.514380931854248,0.470418632030487,0.4800232946872711,0.4815560579299927,0.4572000503540039,0.4718726575374603,0.4496446251869201,0.4652890264987945,0.4394226372241974,0.4353441894054413,0.4417389631271362,0.4261003732681274,0.4383817315101623,0.4378418624401092,0.4627696871757507,0.4282484948635101,0.4476713240146637,0.4367201626300812,0.4791001081466675,0.4202707707881927,0.5205742120742798,0.4319365918636322,0.443247377872467,0.3149868547916412,0.3119063675403595,2.0147035121917725,1.654578447341919
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.3844277858734131,0.4404425919055938,0.3549795746803283,0.4104667901992798,0.361453115940094,0.415719985961914,0.3583433926105499,0.4112560451030731,0.3694120943546295,0.4156292080879211,0.4151859879493713,0.4465429186820984,0.431295782327652,0.4435547888278961,0.4399447441101074,0.4314616620540619,0.3784869313240051,0.3883160352706909,0.2927653789520263,0.2759940922260284,0.3407801985740661,0.3079806268215179,0.3898341059684753,0.2851766049861908,0.4046304821968078,0.2170550227165222,1.7484824657440186,0.9572203159332275
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.3698765635490417,0.4183864593505859,0.3729040324687958,0.3901380598545074,0.375732958316803,0.3923523128032684,0.3777184784412384,0.4125247299671173,0.3767824172973633,0.4155254364013672,0.3981722891330719,0.4476776123046875,0.4277046024799347,0.4882503449916839,0.4027749598026275,0.4808464050292969,0.3688679933547973,0.4681710302829742,0.3490571677684784,0.5548964738845825,0.3845082223415375,0.6640831232070923,0.4615571498870849,0.6682009696960449,0.4189855754375458,0.6276052594184875,2.311230421066284,3.001410722732544
