filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,HuBERT (Transformer)_layer1_distance_tgt,HuBERT (Transformer)_layer1_distance_oth,HuBERT (Transformer)_layer2_distance_tgt,HuBERT (Transformer)_layer2_distance_oth,HuBERT (Transformer)_layer3_distance_tgt,HuBERT (Transformer)_layer3_distance_oth,HuBERT (Transformer)_layer4_distance_tgt,HuBERT (Transformer)_layer4_distance_oth,HuBERT (Transformer)_layer5_distance_tgt,HuBERT (Transformer)_layer5_distance_oth,HuBERT (Transformer)_layer6_distance_tgt,HuBERT (Transformer)_layer6_distance_oth,HuBERT (Transformer)_layer7_distance_tgt,HuBERT (Transformer)_layer7_distance_oth,HuBERT (Transformer)_layer8_distance_tgt,HuBERT (Transformer)_layer8_distance_oth,HuBERT (Transformer)_layer9_distance_tgt,HuBERT (Transformer)_layer9_distance_oth,HuBERT (Transformer)_layer10_distance_tgt,HuBERT (Transformer)_layer10_distance_oth,HuBERT (Transformer)_layer11_distance_tgt,HuBERT (Transformer)_layer11_distance_oth,HuBERT (Transformer)_layer12_distance_tgt,HuBERT (Transformer)_layer12_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.5297142863273621,0.576602041721344,0.4287907481193542,0.4608882069587707,0.3851274251937866,0.3938761949539184,0.3426074087619781,0.3456398546695709,0.3246583044528961,0.3231726884841919,0.302808403968811,0.3074741065502167,0.303903192281723,0.3074741661548614,0.3206071853637695,0.311422199010849,0.3338161706924438,0.3296920359134674,0.3257719874382019,0.3430111110210418,0.3081575036048889,0.3423484861850738,0.2104613482952118,0.2853063941001892
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.4415484666824341,0.6364962458610535,0.3324291110038757,0.5203587412834167,0.2963372468948364,0.4665403962135315,0.2664357423782348,0.4260406196117401,0.2668454349040985,0.4381826519966125,0.2430869340896606,0.3944211304187774,0.2398490309715271,0.3912038207054138,0.2462417930364608,0.4188811779022217,0.2614088356494903,0.4369799792766571,0.2591604590415954,0.4900145828723907,0.2567806541919708,0.603969931602478,0.20556390285491943,0.6606979966163635
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.5117133259773254,0.5590376853942871,0.4253211915493011,0.4403188824653625,0.3302503526210785,0.3609838485717773,0.3044621348381042,0.330106645822525,0.315188854932785,0.3410174250602722,0.3244699537754059,0.3517014384269714,0.337602823972702,0.3849020898342132,0.3380014598369598,0.4102003574371338,0.3903376758098602,0.477079689502716,0.3663107752799988,0.5080108642578125,0.3896164894104004,0.5198639631271362,0.3455178737640381,0.5128275752067566
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.5080399513244629,0.5529575943946838,0.4122290313243866,0.4481226801872253,0.3427154123783111,0.3863279819488525,0.325981855392456,0.373814046382904,0.3276802599430084,0.3754653632640838,0.325710266828537,0.382733553647995,0.3418890237808227,0.403761476278305,0.3350533843040466,0.4035618305206299,0.3815080523490906,0.4769451022148132,0.3831639587879181,0.5092046856880188,0.4311888813972473,0.5607028007507324,0.3845672309398651,0.5418611764907837
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.435996264219284,0.4809947609901428,0.3438210487365722,0.4082160592079162,0.2902575731277466,0.3329646289348602,0.2870305776596069,0.3314653635025024,0.2839809656143188,0.3337216079235077,0.2816701531410217,0.3446068167686462,0.2788189649581909,0.3752293586730957,0.2703539133071899,0.3967433273792267,0.2873237431049347,0.4593389928340912,0.3460607230663299,0.4815327525138855,0.3953179121017456,0.5086233019828796,0.3927333652973175,0.5398535132408142
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.4035798013210296,0.6076939702033997,0.3233641684055328,0.4627739191055298,0.2624685168266296,0.4168349802494049,0.2560636103153229,0.4044500887393951,0.2576369941234588,0.415552407503128,0.2629311382770538,0.3963008522987366,0.3110358417034149,0.4506905078887939,0.3592395782470703,0.4994449019432068,0.4440748393535614,0.5834002494812012,0.4895836114883423,0.6319724917411804,0.487457662820816,0.5955479741096497,0.4047498106956482,0.5305046439170837
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.5055968761444092,0.5611235499382019,0.4043889045715332,0.4514020681381225,0.3578972816467285,0.3982903957366943,0.3332276046276092,0.3644776940345764,0.3106426298618316,0.3380495905876159,0.3050644099712372,0.3222504556179046,0.2903342247009277,0.3144030570983886,0.279236376285553,0.2952356338500976,0.291407436132431,0.3261288404464721,0.3220261931419372,0.3440452814102173,0.3829632997512817,0.4136915206909179,0.3928719460964203,0.4307072162628174
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.5929861664772034,0.5970439314842224,0.5004038214683533,0.4859673976898193,0.4553899765014648,0.4533123672008514,0.4338618516921997,0.4269628226757049,0.4138255417346954,0.4452661871910095,0.4299747347831726,0.4549525678157806,0.4254709482192993,0.4618835747241974,0.4459269940853119,0.4909940063953399,0.5423704385757446,0.5287367105484009,0.5658126473426819,0.5807769298553467,0.6348662972450256,0.5841444134712219,0.5568978190422058,0.5273724794387817
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.4788901805877685,0.4740518629550934,0.3869428634643554,0.3836234807968139,0.3582104742527008,0.366529107093811,0.3838639557361603,0.3904879689216614,0.3728580772876739,0.3697606027126312,0.3865451216697693,0.3955560624599457,0.3902415633201599,0.4020024240016937,0.4221934676170349,0.4091570079326629,0.5110201835632324,0.4832657873630523,0.5588177442550659,0.4906458258628845,0.6006869077682495,0.5322017669677734,0.5842752456665039,0.5043458342552185
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.447712242603302,0.4786445498466491,0.3463457226753235,0.3865809142589569,0.3076698780059814,0.3385644257068634,0.2875221967697143,0.3170132935047149,0.2920226454734802,0.3432879745960235,0.3142411708831787,0.3745164573192596,0.3804658353328705,0.4563813507556915,0.4356345236301422,0.4922596514225006,0.4737089872360229,0.5585736632347107,0.4324924647808075,0.5479772686958313,0.4813420176506042,0.5595259666442871,0.44823673367500305,0.4965400695800781
