filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,HuBERT (Transformer)_layer0_distance_tgt,HuBERT (Transformer)_layer0_distance_oth,HuBERT (Transformer)_layer1_distance_tgt,HuBERT (Transformer)_layer1_distance_oth,HuBERT (Transformer)_layer2_distance_tgt,HuBERT (Transformer)_layer2_distance_oth,HuBERT (Transformer)_layer3_distance_tgt,HuBERT (Transformer)_layer3_distance_oth,HuBERT (Transformer)_layer4_distance_tgt,HuBERT (Transformer)_layer4_distance_oth,HuBERT (Transformer)_layer5_distance_tgt,HuBERT (Transformer)_layer5_distance_oth,HuBERT (Transformer)_layer6_distance_tgt,HuBERT (Transformer)_layer6_distance_oth,HuBERT (Transformer)_layer7_distance_tgt,HuBERT (Transformer)_layer7_distance_oth,HuBERT (Transformer)_layer8_distance_tgt,HuBERT (Transformer)_layer8_distance_oth,HuBERT (Transformer)_layer9_distance_tgt,HuBERT (Transformer)_layer9_distance_oth,HuBERT (Transformer)_layer10_distance_tgt,HuBERT (Transformer)_layer10_distance_oth,HuBERT (Transformer)_layer11_distance_tgt,HuBERT (Transformer)_layer11_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.3795486390590668,0.375706285238266,0.3153919577598572,0.3190408051013946,0.302786111831665,0.3205842673778534,0.3088920414447784,0.3249750435352325,0.3207568824291229,0.3457134962081909,0.3127197027206421,0.3300514221191406,0.3104515373706817,0.3364397883415222,0.2844291031360626,0.3093732893466949,0.2736128270626068,0.2802164852619171,0.5238162875175476,0.5264201760292053,0.5469262599945068,0.5562641620635986,0.6298620104789734,0.6447851657867432
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.3310473263263702,0.4937366247177124,0.2840002477169037,0.3945615291595459,0.2723056972026825,0.3836926221847534,0.2568493783473968,0.3729913532733917,0.2561856508255005,0.4024710059165954,0.2630254328250885,0.4189789891242981,0.2711063921451568,0.4674238860607147,0.230773851275444,0.4144150018692016,0.0648037493228912,0.2364458739757537,0.0884927213191986,0.4152567088603973,0.0616717003285884,0.4641103148460388,0.07679018378257751,0.5399796962738037
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.3921136856079101,0.4354337155818939,0.3469228446483612,0.3670133948326111,0.2952210903167724,0.3259841203689575,0.2700229585170746,0.3058475852012634,0.2667795121669769,0.310248851776123,0.2530205249786377,0.2987586855888366,0.2413422912359237,0.279678463935852,0.2085124254226684,0.2072152197360992,0.1577603220939636,0.0597608312964439,0.2781455516815185,0.0597494654357433,0.3720994889736175,0.0549874603748321,0.46916651725769043,0.06641887128353119
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.4046461582183838,0.4565490782260895,0.3338648378849029,0.3709401786327362,0.3261660635471344,0.3519733548164367,0.3199644386768341,0.3570442199707031,0.3373446762561798,0.3903575539588928,0.3437515497207641,0.413727194070816,0.329031765460968,0.4056214392185211,0.2831499576568603,0.3488287627696991,0.0925570949912071,0.1294518411159515,0.2696194350719452,0.3757212162017822,0.2579717934131622,0.3524277210235595,0.3237031400203705,0.4961749315261841
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.323864609003067,0.3700904548168182,0.2844682931900024,0.3249131441116333,0.2528305053710937,0.2857807576656341,0.2684715688228607,0.3144412338733673,0.270779401063919,0.3118851482868194,0.2603247463703155,0.2912607789039612,0.2430491298437118,0.2784995138645172,0.1915517896413803,0.2280867993831634,0.0546065308153629,0.0568466670811176,0.0405251830816268,0.0579861961305141,0.0447676964104175,0.0684354081749916,0.05252320319414139,0.09130193293094635
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.310150533914566,0.4091410636901855,0.2579401135444641,0.321855753660202,0.2356261014938354,0.2801201343536377,0.2170570343732834,0.2753322124481201,0.2217201441526413,0.2879718840122223,0.1937109977006912,0.2805880010128021,0.1549024581909179,0.2418492138385772,0.1096674501895904,0.1639280617237091,0.1178953796625137,0.0352699607610702,0.2836441397666931,0.0647256523370742,0.36493119597435,0.0709659829735755,0.46231240034103394,0.08696992695331573
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.3332509696483612,0.3796138167381286,0.2759752571582794,0.3342642188072204,0.2584021389484405,0.3093384504318237,0.2287057489156723,0.287503182888031,0.2154903262853622,0.2768084406852722,0.2030506581068039,0.279173195362091,0.1559910178184509,0.2372410744428634,0.1118891611695289,0.1886458545923233,0.0334114097058773,0.131645068526268,0.0246595796197652,0.1367311030626297,0.017578275874257,0.1191858053207397,0.020015375688672066,0.1428988128900528
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.456678569316864,0.4779968559741974,0.3976213932037353,0.429943323135376,0.3833936154842376,0.4184211790561676,0.3840391039848327,0.4366776943206787,0.3923872709274292,0.4504953026771545,0.3981865346431732,0.4550033509731293,0.4037106931209564,0.4540660977363586,0.3393720686435699,0.3658790290355682,0.1204020753502845,0.1248376294970512,0.0962766259908676,0.1061903461813926,0.0582935437560081,0.0708194226026535,0.055171314626932144,0.07225573807954788
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.3716519773006439,0.4021714329719543,0.3163785934448242,0.3279465734958648,0.2872706949710846,0.3129914700984955,0.3051308989524841,0.3087880909442901,0.3192388117313385,0.3269925415515899,0.3075611293315887,0.3100936710834503,0.2728254795074463,0.2598284184932709,0.1959131360054016,0.2090535312891006,0.0928088873624801,0.1928818821907043,0.1114740967750549,0.5417443513870239,0.1406004130840301,0.5578649640083313,0.20819175243377686,0.6503311991691589
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.3537511527538299,0.3792822360992431,0.2972416579723358,0.3070850074291229,0.283805787563324,0.3037657141685486,0.2891530990600586,0.3193481564521789,0.318092405796051,0.3523752689361572,0.341784656047821,0.3658023476600647,0.302533894777298,0.3374665677547455,0.255023330450058,0.2779230773448944,0.0723097249865531,0.1018584072589874,0.0605106465518474,0.1420294791460037,0.0525064580142498,0.172172412276268,0.06412829458713531,0.2522011697292328
