filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,wav2vec 2.0 (Transformer)_layer8_distance_tgt,wav2vec 2.0 (Transformer)_layer8_distance_oth,wav2vec 2.0 (Transformer)_layer9_distance_tgt,wav2vec 2.0 (Transformer)_layer9_distance_oth,wav2vec 2.0 (Transformer)_layer10_distance_tgt,wav2vec 2.0 (Transformer)_layer10_distance_oth,wav2vec 2.0 (Transformer)_layer11_distance_tgt,wav2vec 2.0 (Transformer)_layer11_distance_oth,wav2vec 2.0 (Transformer)_layer1_distance_tgt,wav2vec 2.0 (Transformer)_layer1_distance_oth,wav2vec 2.0 (Transformer)_layer2_distance_tgt,wav2vec 2.0 (Transformer)_layer2_distance_oth,wav2vec 2.0 (Transformer)_layer3_distance_tgt,wav2vec 2.0 (Transformer)_layer3_distance_oth,wav2vec 2.0 (Transformer)_layer4_distance_tgt,wav2vec 2.0 (Transformer)_layer4_distance_oth,wav2vec 2.0 (Transformer)_layer5_distance_tgt,wav2vec 2.0 (Transformer)_layer5_distance_oth,wav2vec 2.0 (Transformer)_layer6_distance_tgt,wav2vec 2.0 (Transformer)_layer6_distance_oth,wav2vec 2.0 (Transformer)_layer7_distance_tgt,wav2vec 2.0 (Transformer)_layer7_distance_oth,wav2vec 2.0 (Transformer)_layer12_distance_tgt,wav2vec 2.0 (Transformer)_layer12_distance_oth
BR_TRIP20631_1,o,u,s,b,BR465,BR610,BR720,BR-participant3,BR-participant1,True,1,BR,2,0.4443421959877014,0.3280977010726928,0.2666287720203399,0.1868484914302826,0.1610465794801712,0.1430659741163253,0.0208395849913358,0.0173582732677459,0.4518604278564453,0.436784952878952,0.4067484140396118,0.3890114724636078,0.3682491183280945,0.3571154475212097,0.3689168095588684,0.3565956652164459,0.3523856699466705,0.3543714880943298,0.3325802087783813,0.3502271473407745,0.3774138391017914,0.3495174050331116,0.0595239698886871,0.0406485833227634
ES_TRIP8746_0,æ:,i:,l,s,ES22,ES20,ES271,ES-participant2,ES-participant1,False,0,ES,6,0.4389426410198211,0.6571979522705078,0.248104378581047,0.4776954054832458,0.1989958584308624,0.3852547705173492,0.0235926378518342,0.0551047809422016,0.4361830055713653,0.652803897857666,0.3599937558174133,0.6167467832565308,0.3290272951126098,0.6044671535491943,0.3126844465732574,0.6222571134567261,0.2784396409988403,0.599472165107727,0.3035036623477936,0.5735446214675903,0.3651337325572967,0.6302943229675293,0.0832321196794509,0.2221184223890304
FR_TRIP26463_0,ɑ̃,ɔ̃,z,b,FR2993,FR3325,FR1520,FR-participant7,FR-participant4,False,0,FR,0,0.5156195759773254,0.589460015296936,0.437808096408844,0.4641172289848327,0.3452037274837494,0.2725112736225128,0.0587127245962619,0.0456400886178016,0.5591849684715271,0.6056031584739685,0.4937798976898193,0.5708320140838623,0.4493825733661651,0.5320395231246948,0.4334758818149566,0.5183850526809692,0.4167191982269287,0.5221694707870483,0.444519430398941,0.5430721044540405,0.5012102723121643,0.5784405469894409,0.3863300383090973,0.1781656444072723
EN_TRIP12562_1,æ,ɪ,f,s,EN2316,EN2436,EN1654,EN-participant5,EN-participant1,True,1,EN,1,0.4720673263072967,0.4891965389251709,0.2799749970436096,0.3041803240776062,0.249925285577774,0.2282964289188385,0.0312457457184791,0.0337914191186428,0.5132294297218323,0.5658910274505615,0.4460332989692688,0.5315226912498474,0.4151186645030975,0.5083245635032654,0.4217029511928558,0.524508535861969,0.4049642384052276,0.49849534034729,0.3959587812423706,0.4601589143276214,0.4453147053718567,0.4703270494937897,0.0630594864487648,0.1065393760800361
TU_TRIP2124_1,u,y,ʃ,t,TU92,TU81,TU29,TU-participant4,TU-participant2,True,1,TU,5,0.4017874598503113,0.4745727777481079,0.3333278298377991,0.417160153388977,0.2510607540607452,0.2341637313365936,0.0540383793413639,0.0385849550366401,0.4324838519096374,0.4590655565261841,0.3704457879066467,0.3889583945274353,0.3402644693851471,0.3571871519088745,0.3331064879894256,0.3408347964286804,0.3184343576431274,0.3262858092784881,0.3207899630069732,0.3562035262584686,0.3573622405529022,0.4287724494934082,0.2780296504497528,0.2556295990943908
GR_TRIP145_0,iː,ʏ,b,s,GR175,GR211,GR36,GR-participant2,GR-participant6,False,0,GR,3,0.4067480266094208,0.5544780492782593,0.1944578140974044,0.2663563787937164,0.1212838739156723,0.1209264621138572,0.0163362585008144,0.0137915266677737,0.531139075756073,0.6770734786987305,0.4645566344261169,0.5917865633964539,0.4330326318740845,0.553941011428833,0.4390629231929779,0.5617688298225403,0.3960407972335815,0.5337122678756714,0.363369882106781,0.5206980109214783,0.3896926343441009,0.5289855599403381,0.0480368882417678,0.0952162519097328
GL_TRIP2508_1,ɔ,o,f,f,GLO131,GLO37,GLO104,S07F,S03M,True,1,GL,4,0.4266175627708435,0.4765021204948425,0.2435390204191208,0.2461011856794357,0.1032623946666717,0.0898817554116249,0.0279501415789127,0.0276958122849464,0.5596311688423157,0.5975041389465332,0.5085914731025696,0.5300841331481934,0.4736630022525787,0.4998875558376312,0.4726871848106384,0.4789601564407348,0.4350214898586273,0.4912095665931701,0.4190845489501953,0.4614910185337066,0.4208706617355346,0.4808254837989807,0.0644432380795478,0.0543224662542343
BR_TRIP46756_0,ɐ̃,ũ,s,t,BR358,BR433,BR947,BR-participant4,BR-participant5,False,0,BR,2,0.5485053062438965,0.7011515498161316,0.3193987011909485,0.4366402924060821,0.2009965032339096,0.2560359835624695,0.0234177634119987,0.0324228554964065,0.6348016858100891,0.6263738870620728,0.5955507159233093,0.5781551003456116,0.5857399106025696,0.5634135007858276,0.5832096934318542,0.60845547914505,0.5640745759010315,0.6146665215492249,0.5598646402359009,0.6390143632888794,0.5393543839454651,0.668967604637146,0.1116700395941734,0.0717058181762695
GR_TRIP7915_1,uː,ʊ,f,t,GR163,GR237,GR333,GR-participant2,GR-participant4,True,1,GR,3,0.5296598672866821,0.5513725280761719,0.3147335648536682,0.3914259672164917,0.1469108909368515,0.1913040429353714,0.0268851593136787,0.0453506298363208,0.5269584059715271,0.5207570195198059,0.4722446203231811,0.4873758256435394,0.4624716341495514,0.4791447818279266,0.5024899244308472,0.4744629859924316,0.5110198259353638,0.5349451899528503,0.4817277491092682,0.5188977122306824,0.5003357529640198,0.5512575507164001,0.139509841799736,0.2798597812652588
FR_TRIP19161_0,i,y,z,b,FR2094,FR2299,FR3824,FR-participant3,FR-participant5,False,0,FR,0,0.6119071245193481,0.6157669425010681,0.3334217071533203,0.3402102887630462,0.1747600883245468,0.2398738712072372,0.0228502731770277,0.043530698865652,0.4810338914394378,0.5052616000175476,0.4442789256572723,0.4819936752319336,0.4334451556205749,0.4717988967895508,0.4590477347373962,0.5125520825386047,0.4633510410785675,0.5547040104866028,0.522875189781189,0.5821893811225891,0.6002993583679199,0.6278172135353088,0.0541591346263885,0.3833442032337188
BR_TRIP36051_0,ɛ,e,t,ʃ,BR366,BR370,BR443,BR-participant4,BR-participant3,False,0,BR,2,0.6893512606620789,0.6841135025024414,0.4929114580154419,0.3871873915195465,0.1048300564289093,0.2718256413936615,0.0455447919666767,0.0834440663456916,0.6809843182563782,0.6799741387367249,0.6546933650970459,0.6352046132087708,0.6352364420890808,0.6031994223594666,0.6579155325889587,0.6042635440826416,0.646903932094574,0.6080625057220459,0.6629238724708557,0.616172730922699,0.680443525314331,0.6710827350616455,0.0729644447565078,0.4442018568515777
EN_TRIP17558_0,ɑ,u,z,f,EN2723,EN2756,EN775,EN-participant8,EN-participant4,False,0,EN,1,0.4216699600219726,0.7040846347808838,0.2394372075796127,0.4221255481243133,0.1470590531826019,0.3828956484794616,0.0438371822237968,0.0397097468376159,0.4217183291912079,0.7298666834831238,0.3793649971485138,0.7096898555755615,0.3517969250679016,0.6232972145080566,0.3545207381248474,0.641793966293335,0.3613286912441253,0.6442837715148926,0.3454529345035553,0.6578720211982727,0.3882395923137665,0.6797924637794495,0.4932168126106262,0.0742352828383445
