filename	IntervalTier	tier_level	vowel	onset	offset	duration
FR-participant1_cette_FR2551	"IntervalTier" 	"words" 	"cette" 	0.0 	0.470062 	0.470062
FR-participant1_cette_FR2551	"IntervalTier" 	"phones" 	"s" 	0.0 	0.24 	0.24
FR-participant1_cette_FR2551	"IntervalTier" 	"phones" 	"ɛ" 	0.24 	0.35 	0.11
FR-participant1_cette_FR2551	"IntervalTier" 	"phones" 	"t" 	0.35 	0.470062 	0.120062
FR-participant1_ete_FR2549	"IntervalTier" 	"words" 	"ete" 	0.0 	0.23 	0.23
FR-participant1_ete_FR2549	"IntervalTier" 	"words" 	"" 	0.23 	0.470062 	0.240062
FR-participant1_ete_FR2549	"IntervalTier" 	"phones" 	"e" 	0.0 	0.11 	0.11
FR-participant1_ete_FR2549	"IntervalTier" 	"phones" 	"t" 	0.11 	0.23 	0.12
FR-participant1_ete_FR2549	"IntervalTier"	"phones"	"e"	0.29	0.45	0.16
FR-participant1_ete_FR2549	"IntervalTier" 	"phones" 	"" 	0.23 	0.470062 	0.240062
FR-participant1_femme_FR2558	"IntervalTier" 	"words" 	"femme" 	0.0 	0.31 	0.31
FR-participant1_femme_FR2558	"IntervalTier" 	"words" 	"" 	0.31 	0.341375 	0.031375
FR-participant1_femme_FR2558	"IntervalTier" 	"phones" 	"f" 	0.0 	0.12 	0.12
FR-participant1_femme_FR2558	"IntervalTier" 	"phones" 	"a" 	0.12 	0.26 	0.14
FR-participant1_femme_FR2558	"IntervalTier" 	"phones" 	"m" 	0.26 	0.31 	0.05
FR-participant1_femme_FR2558	"IntervalTier" 	"phones" 	"" 	0.31 	0.341375 	0.031375
FR-participant1_impair_FR2565	"IntervalTier" 	"words" 	"" 	0.0 	0.03 	0.03
FR-participant1_impair_FR2565	"IntervalTier" 	"words" 	"impair" 	0.03 	0.45 	0.42
FR-participant1_impair_FR2565	"IntervalTier" 	"words" 	"" 	0.45 	0.48 	0.03
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"" 	0.0 	0.03 	0.03
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"ɛ̃" 	0.03 	0.15 	0.12
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"p" 	0.15 	0.27 	0.12
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"ɛ" 	0.27 	0.37 	0.1
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"ʁ" 	0.37 	0.45 	0.08
FR-participant1_impair_FR2565	"IntervalTier" 	"phones" 	"" 	0.45 	0.48 	0.03
FR-participant1_journee_FR2550	"IntervalTier" 	"words" 	"" 	0.0 	0.16 	0.16
FR-participant1_journee_FR2550	"IntervalTier" 	"words" 	"journee" 	0.16 	0.55 	0.39
FR-participant1_journee_FR2550	"IntervalTier" 	"words" 	"" 	0.55 	0.58 	0.03
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"" 	0.0 	0.16 	0.16
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"ʒ" 	0.16 	0.2 	0.04
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"u" 	0.2 	0.27 	0.07
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"ʁ" 	0.27 	0.34 	0.07
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"ɲ" 	0.34 	0.43 	0.09
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"e" 	0.43 	0.55 	0.12
FR-participant1_journee_FR2550	"IntervalTier" 	"phones" 	"" 	0.55 	0.58 	0.03
FR-participant1_meunier_FR2553	"IntervalTier" 	"words" 	"" 	0.0 	0.03 	0.03
FR-participant1_meunier_FR2553	"IntervalTier" 	"words" 	"meunier" 	0.03 	0.62 	0.59
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"" 	0.0 	0.03 	0.03
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"m" 	0.03 	0.22 	0.19
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"ø" 	0.22 	0.3 	0.08
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"n" 	0.3 	0.39 	0.09
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"j" 	0.39 	0.54 	0.15
FR-participant1_meunier_FR2553	"IntervalTier" 	"phones" 	"e" 	0.54 	0.62 	0.08
FR-participant1_parfum_FR2567	"IntervalTier" 	"words" 	"" 	0.0 	0.11 	0.11
FR-participant1_parfum_FR2567	"IntervalTier" 	"words" 	"parfum" 	0.11 	0.56 	0.45
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"" 	0.0 	0.11 	0.11
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"p" 	0.11 	0.15 	0.04
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"a" 	0.15 	0.21 	0.06
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"ʁ" 	0.21 	0.32 	0.11
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"f" 	0.32 	0.49 	0.17
FR-participant1_parfum_FR2567	"IntervalTier" 	"phones" 	"ɛ̃" 	0.49 	0.56 	0.07
FR-participant1_peau_FR2562	"IntervalTier" 	"words" 	"" 	0.0 	0.14 	0.14
FR-participant1_peau_FR2562	"IntervalTier" 	"words" 	"peau" 	0.14 	0.390062 	0.250062
FR-participant1_peau_FR2562	"IntervalTier" 	"phones" 	"" 	0.0 	0.14 	0.14
FR-participant1_peau_FR2562	"IntervalTier" 	"phones" 	"p" 	0.14 	0.24 	0.1
FR-participant1_peau_FR2562	"IntervalTier" 	"phones" 	"o" 	0.24 	0.390062 	0.150062
FR-participant1_porte_FR2563	"IntervalTier" 	"words" 	"" 	0.0 	0.13 	0.13
FR-participant1_porte_FR2563	"IntervalTier" 	"words" 	"porte" 	0.13 	0.490063 	0.360063
FR-participant1_porte_FR2563	"IntervalTier" 	"phones" 	"" 	0.0 	0.13 	0.13
FR-participant1_porte_FR2563	"IntervalTier" 	"phones" 	"p" 	0.13 	0.18 	0.05
FR-participant1_porte_FR2563	"IntervalTier" 	"phones" 	"ɔ" 	0.18 	0.25 	0.07
FR-participant1_porte_FR2563	"IntervalTier" 	"phones" 	"ʁ" 	0.25 	0.4 	0.15
FR-participant1_porte_FR2563	"IntervalTier" 	"phones" 	"t" 	0.4 	0.490063 	0.090063
FR-participant1_queue_FR2554	"IntervalTier" 	"words" 	"queue" 	0.0 	0.29 	0.29
FR-participant1_queue_FR2554	"IntervalTier" 	"words" 	"" 	0.29 	0.32 	0.03
FR-participant1_queue_FR2554	"IntervalTier" 	"phones" 	"k" 	0.0 	0.11 	0.11
FR-participant1_queue_FR2554	"IntervalTier" 	"phones" 	"ø" 	0.11 	0.29 	0.18
FR-participant1_queue_FR2554	"IntervalTier" 	"phones" 	"" 	0.29 	0.32 	0.03
FR-participant1_rideau_FR2561	"IntervalTier" 	"words" 	"rideau" 	0.0 	0.44 	0.44
FR-participant1_rideau_FR2561	"IntervalTier" 	"phones" 	"ʁ" 	0.0 	0.12 	0.12
FR-participant1_rideau_FR2561	"IntervalTier" 	"phones" 	"i" 	0.12 	0.2 	0.08
FR-participant1_rideau_FR2561	"IntervalTier" 	"phones" 	"d" 	0.2 	0.3 	0.1
