filename,phone_label,start,end
EN-participant1_cake.wav,eɪ,0.13,0.26
EN-participant1_dodge.wav,ɑ,0.09,0.29
EN-participant1_dress.wav,ɛ,0.15,0.26
EN-participant1_face.wav,eɪ,0.17,0.34
EN-participant1_fleece.wav,i,0.24,0.36
EN-participant1_foot.wav,ʊ,0.13,0.15
EN-participant1_goat.wav,oʊ,0.06,0.24
EN-participant1_goose.wav,u,0.05,0.22
EN-participant1_kit.wav,ɪ,0.11,0.2
EN-participant1_look.wav,ʊ,0.13,0.15
EN-participant1_loop.wav,u,0.04,0.21
EN-participant1_lot.wav,ɑ,0.12,0.26
EN-participant1_stop.wav,ɑ,0.22,0.38
EN-participant1_tape.wav,eɪ,0.12,0.26
EN-participant1_trap.wav,æ,0.16,0.27
EN-participant2_dress.wav,ɛ,0.1,0.23
EN-participant2_face.wav,eɪ,0.11,0.24
EN-participant2_fleece.wav,i,0.2,0.29
EN-participant2_foot.wav,ʊ,0.15,0.17
EN-participant2_goat.wav,oʊ,0.06,0.19
EN-participant2_goose.wav,u,0.18,0.29
EN-participant2_kit.wav,ɪ,0.13,0.21
EN-participant2_lot.wav,ɑ,0.1,0.22
EN-participant2_trap.wav,æ,0.17,0.29
EN-participant3_dress.wav,ɛ,0.14,0.23
EN-participant3_face.wav,eɪ,0.1,0.25
EN-participant3_fleece.wav,i,0.21,0.36
EN-participant3_foot.wav,ʊ,0.13,0.15
EN-participant3_goat.wav,oʊ,0.08,0.2
EN-participant3_goose.wav,u,0.09,0.19
EN-participant3_kit.wav,ɪ,0.11,0.18
EN-participant3_lot.wav,ɑ,0.09,0.2
EN-participant3_trap.wav,æ,0.16,0.3
EN-participant4_face.wav,eɪ,0.08,0.24
EN-participant4_fleece.wav,i,0.11,0.25
EN-participant4_foot.wav,ʊ,0.11,0.13
EN-participant4_goat.wav,oʊ,0.06,0.22
EN-participant4_goose.wav,u,0.11,0.24
EN-participant4_kit.wav,ɪ,0.12,0.26
EN-participant4_lot.wav,ɑ,0.09,0.25
EN-participant4_trap.wav,æ,0.12,0.27
EN-participant5_dress.wav,ɛ,0.15,0.26
EN-participant5_face.wav,eɪ,0.14,0.3
EN-participant5_fleece.wav,i,0.18,0.29
EN-participant5_foot.wav,ʊ,0.18,0.2
EN-participant5_goat.wav,oʊ,0.13,0.28
EN-participant5_goose.wav,u,0.18,0.31
EN-participant5_kit.wav,ɪ,0.14,0.25
EN-participant5_lot.wav,ɑ,0.11,0.23
EN-participant5_trap.wav,æ,0.19,0.31
EN-participant6_dress.wav,ɛ,0.16,0.27
EN-participant6_face.wav,eɪ,0.18,0.31
EN-participant6_fleece.wav,i,0.26,0.36
EN-participant6_foot.wav,ʊ,0.22,0.31
EN-participant6_goat.wav,oʊ,0.18,0.32
EN-participant6_goose.wav,u,0.17,0.31
EN-participant6_kit.wav,ɪ,0.13,0.22
EN-participant6_lot.wav,ɑ,0.1,0.24
EN-participant6_trap.wav,æ,0.2,0.32
EN-participant7_cake.wav,eɪ,0.13,0.22
EN-participant7_dodge.wav,ɑ,0.06,0.29
EN-participant7_dress.wav,ɛ,0.17,0.27
EN-participant7_face.wav,eɪ,0.12,0.3
EN-participant7_fleece.wav,i,0.27,0.4
EN-participant7_foot.wav,ʊ,0.22,0.24
EN-participant7_goat.wav,oʊ,0.09,0.25
EN-participant7_goose.wav,u,0.08,0.23
EN-participant7_kit.wav,ɪ,0.15,0.3
EN-participant7_look.wav,ʊ,0.15,0.17
EN-participant7_loop.wav,u,0.08,0.22
EN-participant7_lot.wav,ɑ,0.16,0.29
EN-participant7_stop.wav,ɑ,0.17,0.32
EN-participant7_tape.wav,eɪ,0.13,0.25
EN-participant7_trap.wav,æ,0.19,0.31
EN-participant8_cake.wav,eɪ,0.14,0.23
EN-participant8_dodge.wav,ɑ,0.12,0.34
EN-participant8_dress.wav,ɛ,0.13,0.22
EN-participant8_face.wav,eɪ,0.18,0.3
EN-participant8_fleece.wav,i,0.2,0.3
EN-participant8_foot.wav,ʊ,0.22,0.24
EN-participant8_goat.wav,oʊ,0.09,0.22
EN-participant8_goose.wav,u,0.09,0.22
EN-participant8_kit.wav,ɪ,0.17,0.24
EN-participant8_look.wav,ʊ,0.13,0.15
EN-participant8_loop.wav,u,0.14,0.2
EN-participant8_lot.wav,ɑ,0.14,0.31
EN-participant8_stop.wav,ɑ,0.19,0.32
EN-participant8_tape.wav,eɪ,0.15,0.23
EN-participant8_trap.wav,æ,0.2,0.31
