Phone (Language),Response,value
a (de),a,0.24444444444444446
a (de),ɑ̃,0.14444444444444446
a (de),e,0.002777777777777778
a (de),ɛ,0.1416666666666667
a (de),ɛ̃,0.09166666666666667
a (de),i,0.005555555555555556
a (de),o,0.05833333333333333
a (de),ø,0.024999999999999998
a (de),œ,0.027777777777777776
a (de),ɔ,0.2111111111111111
a (de),ɔ̃,0.044444444444444446
a (de),u,0.0
a (de),y,0.002777777777777778
a (fr),a,0.20435729847494577
a (fr),ɑ̃,0.08605664488017416
a (fr),e,0.03877995642701525
a (fr),ɛ,0.10610021786492362
a (fr),ɛ̃,0.2263616557734209
a (fr),i,0.00457516339869281
a (fr),o,0.03006535947712418
a (fr),ø,0.07167755991285393
a (fr),œ,0.12962962962962954
a (fr),ɔ,0.05795206971677552
a (fr),ɔ̃,0.023965141612200425
a (fr),u,0.0
a (fr),y,0.020479302832244008
a (pt-br),a,0.37444444444444436
a (pt-br),ɑ̃,0.035555555555555556
a (pt-br),e,0.0
a (pt-br),ɛ,0.0077777777777777776
a (pt-br),ɛ̃,0.35111111111111104
a (pt-br),i,0.0
a (pt-br),o,0.0
a (pt-br),ø,0.0022222222222222222
a (pt-br),œ,0.09666666666666668
a (pt-br),ɔ,0.12777777777777785
a (pt-br),ɔ̃,0.0044444444444444444
a (pt-br),u,0.0
a (pt-br),y,0.0
aː (de-mun),a,0.17314814814814813
aː (de-mun),ɑ̃,0.1111111111111111
aː (de-mun),e,0.0
aː (de-mun),ɛ,0.0
aː (de-mun),ɛ̃,0.3944444444444443
aː (de-mun),i,0.0
aː (de-mun),o,0.019444444444444445
aː (de-mun),ø,0.012037037037037037
aː (de-mun),œ,0.1138888888888889
aː (de-mun),ɔ,0.14166666666666666
aː (de-mun),ɔ̃,0.02685185185185185
aː (de-mun),u,0.007407407407407408
aː (de-mun),y,0.0
aː (de),a,0.3138888888888889
aː (de),ɑ̃,0.03611111111111111
aː (de),e,0.005555555555555556
aː (de),ɛ,0.04722222222222222
aː (de),ɛ̃,0.07777777777777777
aː (de),i,0.0
aː (de),o,0.011111111111111112
aː (de),ø,0.0
aː (de),œ,0.1666666666666667
aː (de),ɔ,0.3277777777777779
aː (de),ɔ̃,0.013888888888888888
aː (de),u,0.0
aː (de),y,0.0
aː (et),a,0.17062146892655372
aː (et),ɑ̃,0.10960451977401132
aː (et),e,0.0011299435028248588
aː (et),ɛ,0.0
aː (et),ɛ̃,0.39435028248587534
aː (et),i,0.0
aː (et),o,0.04180790960451978
aː (et),ø,0.0011299435028248588
aː (et),œ,0.08361581920903963
aː (et),ɔ,0.14124293785310746
aː (et),ɔ̃,0.013559322033898306
aː (et),u,0.04293785310734463
aː (et),y,0.0
æ (en-us),a,0.2770025839793283
æ (en-us),ɑ̃,0.03126614987080105
æ (en-us),e,0.0010335917312661498
æ (en-us),ɛ,0.011369509043927651
æ (en-us),ɛ̃,0.3457364341085274
æ (en-us),i,0.0
æ (en-us),o,0.0018087855297157622
æ (en-us),ø,0.009302325581395352
æ (en-us),œ,0.1935400516795867
æ (en-us),ɔ,0.11937984496124004
æ (en-us),ɔ̃,0.009560723514211888
æ (en-us),u,0.0
æ (en-us),y,0.0
æː (et),a,0.23728813559322046
æː (et),ɑ̃,0.0022598870056497176
æː (et),e,0.0
æː (et),ɛ,0.0
æː (et),ɛ̃,0.3378531073446327
æː (et),i,0.0
æː (et),o,0.0033898305084745766
æː (et),ø,0.01129943502824859
æː (et),œ,0.2779661016949153
æː (et),ɔ,0.11864406779661023
æː (et),ɔ̃,0.00903954802259887
æː (et),u,0.0022598870056497176
æː (et),y,0.0
ɐ̃ (pt-br),a,0.19376947040498432
ɐ̃ (pt-br),ɑ̃,0.1289719626168224
ɐ̃ (pt-br),e,0.0006230529595015577
ɐ̃ (pt-br),ɛ,0.004984423676012461
ɐ̃ (pt-br),ɛ̃,0.3999999999999999
ɐ̃ (pt-br),i,0.0
ɐ̃ (pt-br),o,0.014953271028037382
ɐ̃ (pt-br),ø,0.01059190031152648
ɐ̃ (pt-br),œ,0.0691588785046729
ɐ̃ (pt-br),ɔ,0.13707165109034256
ɐ̃ (pt-br),ɔ̃,0.039875389408099704
ɐ̃ (pt-br),u,0.0
